id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
7409,p,9.46,x,,w,f,x,c,w,11.1,11.86,r,i,w,,,f,f,,h,a
7410,e,7.31,x,t,y,f,p,,y,7.68,16.09,,,y,,y,t,,,d,a
7411,p,1.58,b,,n,f,a,,g,4.61,1.44,,s,n,,,f,f,,d,u
7412,p,3.48,b,y,n,f,,c,g,6.25,4.54,s,s,w,,,f,f,,d,a
7413,e,6.96,x,,p,f,x,c,w,6.5,16.12,,s,w,,,f,f,,d,a
7414,p,4.06,c,i,y,f,,c,n,6.58,7.52,,,w,,,f,f,,d,u
7415,e,4.41,f,t,o,f,a,d,w,6.61,5.18,,s,n,,,f,f,,d,a
7416,e,7.51,x,y,n,f,e,c,w,6.2,10.77,,y,n,,,f,f,,d,s
7417,e,6.09,f,s,b,f,x,c,w,5.86,8.75,,s,n,,,f,f,,l,w
7418,e,6.31,f,s,n,f,s,c,w,5.46,9.99,b,i,w,,,f,f,,m,a
7419,p,11.07,x,h,n,t,p,,o,9.17,27.51,c,,y,,,f,f,,d,u
7420,e,4.04,x,t,n,f,d,,o,6.19,7.86,,t,w,,,f,f,,d,u
7421,p,1.47,b,t,y,f,,c,n,4.27,1.45,,,n,,,f,f,,g,a
7422,e,5.78,x,y,n,f,e,c,w,4.67,9.87,,y,n,,,f,f,,d,a
7423,p,3.89,x,t,n,f,a,c,n,4.9,5.81,,y,o,,,t,z,,d,u
7424,p,2.32,x,,n,f,,,k,5.07,2.58,,s,n,,,f,f,k,g,a
7425,e,3.0,b,y,n,f,,c,k,7.59,3.38,,,w,,,f,f,,d,a
7426,e,7.19,x,h,n,f,p,d,y,6.77,11.56,,s,n,,,f,f,,d,a
7427,p,3.17,b,y,e,f,e,c,w,4.56,3.46,,k,w,,,t,e,,d,a
7428,p,1.79,b,g,w,f,,c,n,5.53,2.79,,,n,,,f,f,,d,a
7429,p,4.22,x,s,y,f,a,c,y,5.82,6.46,,g,o,,,f,f,,g,a
7430,p,3.13,o,,g,f,f,f,f,3.21,14.74,,g,g,,,f,f,,d,u
7431,e,7.13,x,y,n,f,e,c,w,5.53,9.73,,y,n,,,f,f,,d,a
7432,e,8.57,f,y,w,f,e,c,p,19.49,13.06,,s,w,,,t,e,,d,a
7433,p,3.7,x,y,n,f,a,,w,4.97,3.49,,y,y,,,t,r,,g,a
7434,e,7.59,f,s,w,f,s,c,w,6.91,29.9,,,w,,,f,f,,m,a
7435,p,2.46,b,g,y,f,,c,n,6.18,3.24,,,n,,,f,f,,m,u
7436,p,8.38,p,g,n,f,e,,w,9.84,19.34,,y,w,u,w,t,p,,d,u
7437,p,0.75,x,,n,f,d,,o,5.26,1.16,,,y,,,f,f,w,g,u
7438,p,9.92,x,,n,f,p,,w,10.91,30.66,c,,n,,,f,f,p,d,a
7439,e,5.83,x,h,g,f,a,d,n,5.4,6.11,,t,w,,,t,l,,d,w
7440,p,4.09,x,h,n,f,a,c,n,4.53,5.43,,y,n,,,t,z,,d,w
7441,e,9.96,s,,w,t,d,c,y,5.76,23.97,,,w,,,f,f,,d,u
7442,e,9.83,s,t,p,t,d,c,o,5.14,16.92,,,w,,,f,f,,d,a
7443,e,7.17,f,w,y,f,f,f,f,6.49,16.93,,,y,,,f,f,,d,u
7444,e,9.53,x,s,n,f,e,c,w,7.7,10.53,,i,n,,,f,f,p,d,s
7445,p,4.9,c,i,y,f,,c,r,6.29,7.2,,,w,,,f,f,,d,a
7446,p,13.21,f,,n,f,e,,w,11.14,16.3,,,w,u,w,t,g,,d,u
7447,e,6.19,s,,n,f,d,c,w,4.96,7.94,,s,w,,,f,f,,h,u
7448,e,8.03,f,h,n,f,s,,y,8.61,12.39,,i,n,,,f,f,,d,u
7449,p,0.58,x,g,y,f,,,y,3.47,0.75,,,w,,,f,f,,d,a
7450,p,6.69,f,k,n,f,a,c,y,5.66,6.53,,i,y,,,t,,,d,u
7451,e,14.07,p,s,n,t,e,,n,8.84,17.72,s,,w,,,t,l,,m,a
7452,p,3.13,x,i,e,f,,,e,4.47,5.94,,,e,,,f,f,n,d,a
7453,e,5.6,x,y,n,f,e,c,w,4.31,9.32,,y,n,,,f,f,,d,u
7454,p,4.67,x,t,o,f,a,c,n,5.15,7.13,,y,o,,,t,z,,d,w
7455,e,3.71,x,d,n,f,p,,e,4.15,9.89,,,n,,,f,f,,d,a
7456,p,1.56,x,,n,f,,,k,5.37,2.92,,s,n,,,f,f,k,g,a
7457,e,13.15,f,,l,f,d,c,w,2.65,17.31,,,w,,,f,f,,d,w
7458,p,7.87,x,,g,t,x,,u,8.87,21.09,s,,u,,u,f,f,,d,a
7459,e,3.16,f,d,g,t,d,c,p,3.92,5.55,,,g,,,f,f,,d,u
7460,e,1.15,c,g,e,t,a,,w,6.04,1.1,,,n,,,f,f,,h,a
7461,p,5.06,f,l,y,f,x,d,n,6.43,5.19,,,y,,,f,f,,d,a
7462,p,2.98,b,,g,f,a,,n,8.18,2.4,,,g,,w,f,f,k,g,u
7463,p,13.56,x,s,k,t,d,,b,4.81,25.08,,,r,,,f,f,,d,a
7464,e,10.98,x,t,n,t,p,,y,7.27,22.97,,,n,,,f,f,,d,u
7465,e,3.25,f,s,w,f,d,d,w,3.25,5.9,,,w,,,f,f,,g,w
7466,p,7.1,x,d,e,t,d,c,n,7.05,9.51,,,n,,,f,f,,d,a
7467,p,2.17,x,i,l,f,a,,p,4.05,2.49,,,w,,,f,f,p,g,u
7468,p,0.72,f,,o,f,d,,o,3.71,0.84,,,y,,,f,f,w,g,u
7469,p,3.97,x,t,o,f,a,c,n,5.01,6.71,,y,n,,,t,z,,d,a
7470,e,1.38,x,w,g,f,,d,g,4.96,2.38,,,w,,,f,f,,g,a
7471,p,3.31,s,d,w,f,a,d,p,3.7,2.64,,h,w,,,f,f,,g,u
7472,e,6.33,f,s,n,f,x,c,w,7.0,9.96,,s,n,,,f,f,,l,w
7473,e,10.12,x,,n,t,,,w,11.95,18.63,b,,w,u,w,t,g,,d,u
7474,e,5.22,x,h,n,f,a,d,w,5.67,5.32,,s,o,,,f,f,,d,s
7475,p,0.73,x,,o,f,d,,o,4.67,1.0,,,y,,,f,f,w,d,u
7476,e,15.2,x,e,n,t,e,,w,10.21,18.0,,,w,,,t,,,g,a
7477,e,3.84,b,y,n,f,,c,n,6.28,2.62,,,w,,,f,f,,d,a
7478,p,6.8,x,t,e,f,x,d,w,5.84,16.8,b,,w,,,f,f,,d,u
7479,p,13.71,s,t,k,t,d,c,n,5.05,24.98,,,r,,,f,f,,l,u
7480,e,6.96,f,s,n,f,s,c,w,5.84,10.48,b,i,w,,,f,f,,d,u
7481,p,3.0,x,s,g,f,d,c,w,3.37,8.16,,,w,,,f,f,,g,a
7482,p,2.64,x,g,e,f,a,,w,6.78,2.48,,,w,,,f,f,,d,a
7483,e,6.73,s,l,w,f,d,,p,3.57,9.42,,,w,,,f,f,,g,a
7484,p,2.39,x,g,n,f,a,,w,7.32,2.47,,,w,,,f,f,,d,a
7485,p,6.27,f,h,n,f,x,,w,13.64,7.13,r,g,n,,,f,f,,d,u
7486,p,8.09,f,t,e,f,x,d,w,6.67,18.1,b,,w,,,f,f,,d,u
7487,p,1.52,b,g,n,f,,c,n,5.14,2.61,,,n,,,f,f,,d,s
7488,e,7.34,x,d,b,f,d,d,b,4.94,12.66,,,w,,,f,f,,g,a
7489,e,6.53,x,y,n,f,e,c,w,5.49,9.75,,y,n,,,f,f,,d,u
7490,e,12.79,x,h,n,t,p,,y,8.09,22.13,,,n,,,f,f,,d,a
7491,p,1.35,x,s,y,f,f,f,f,3.43,5.38,,,y,,,f,f,,d,a
7492,e,2.66,b,y,n,f,,c,k,6.78,2.89,,,w,,,f,f,,d,s
7493,p,6.4,x,d,n,t,d,c,w,8.27,10.19,,,n,,,f,f,,d,a
7494,e,8.62,x,t,n,t,p,,y,7.35,18.77,,,n,,w,t,p,,d,a
7495,p,8.62,x,,g,t,x,,u,9.58,20.89,s,,n,,u,f,f,,d,a
7496,p,0.94,b,t,n,f,,c,g,3.1,2.46,,,n,,,t,f,,g,a
7497,p,5.35,c,i,y,f,,c,n,6.11,6.8,,,w,,,f,f,,d,a
7498,p,2.77,f,d,w,f,d,d,w,3.68,2.45,,h,w,,,f,f,,g,u
7499,e,7.61,f,s,u,f,a,c,w,4.66,14.49,,,w,,,f,f,,d,u
7500,e,1.48,f,w,n,f,,d,g,5.48,2.56,,,w,,,f,f,,d,a
7501,e,3.18,x,s,w,f,d,d,w,3.92,5.92,,,w,,,f,f,,g,a
7502,e,5.73,s,l,w,f,d,,p,3.47,7.98,,,w,,,f,f,,d,a
7503,p,3.01,x,s,g,f,d,c,w,2.55,7.08,,,w,,,f,f,,g,u
7504,e,4.65,f,g,g,f,a,d,g,4.81,2.92,,s,g,,,f,f,,d,u
7505,e,3.24,s,y,n,f,d,d,p,7.01,3.98,,i,n,,,f,f,,h,a
7506,p,13.21,x,s,n,f,s,,y,7.52,17.64,,i,n,,,f,f,,d,a
7507,p,5.4,x,,y,f,s,d,y,6.24,14.33,,i,y,,,f,f,,d,a
7508,p,5.99,s,d,o,f,d,c,y,3.97,7.03,,,y,,,f,f,,h,a
7509,e,3.81,f,s,w,f,d,d,w,4.74,6.13,,,w,,,f,f,,m,w
7510,p,5.72,f,,g,f,d,c,y,5.21,9.46,b,,n,,,f,f,,d,w
7511,p,2.82,o,,g,f,f,f,f,3.07,15.16,,g,g,,,f,f,,d,u
7512,p,8.13,x,,n,t,x,,n,8.8,18.71,s,,g,,u,f,f,,d,a
7513,p,7.95,x,h,e,f,x,d,w,6.87,17.29,b,,w,,,f,f,,d,a
7514,e,7.49,f,y,n,f,s,,w,4.67,7.99,,,w,,,f,f,,d,u
7515,e,2.59,x,,b,f,,d,u,5.9,4.11,,,w,,,f,f,,d,a
7516,p,11.7,f,,g,f,e,,w,10.87,14.54,,,w,u,w,t,p,,d,a
7517,e,14.67,s,e,g,f,a,c,w,9.4,25.74,s,,w,,,f,f,,d,w
7518,p,5.07,s,,e,t,d,c,w,6.7,6.63,,,n,,,f,f,,d,a
7519,p,7.55,x,t,n,f,x,,w,14.9,6.93,r,g,n,,,f,f,,d,a
7520,e,12.27,f,s,w,f,e,c,k,19.57,12.65,,s,w,,,t,e,,g,w
7521,e,5.62,f,y,n,f,e,c,n,4.56,12.58,,,w,,,t,l,,w,u
7522,p,6.7,s,d,n,t,d,c,w,6.11,7.87,,,e,,,f,f,,d,u
7523,p,4.62,x,t,y,f,,c,n,9.39,8.59,,,w,,,t,,,g,a
7524,p,6.21,f,w,p,f,s,c,p,4.79,10.15,,,p,,,f,f,,d,a
7525,p,7.43,f,d,n,t,d,c,y,6.04,9.16,,,e,,,f,f,,d,a
7526,e,6.37,x,h,g,f,a,d,n,6.09,4.93,,t,w,,,t,l,,d,u
7527,e,7.01,s,,n,f,d,c,w,5.58,7.89,,s,w,,,f,f,,h,a
7528,p,3.13,s,s,g,f,d,c,w,3.66,8.12,,,w,,,f,f,,g,u
7529,p,7.43,x,,n,f,x,c,w,9.87,12.86,r,i,w,,,f,f,,d,a
7530,e,3.51,f,,y,f,f,f,f,3.48,12.64,,,y,,,f,f,,d,a
7531,p,1.81,x,g,w,f,a,d,w,3.03,1.68,,,e,,,f,f,,d,u
7532,p,10.08,s,,y,t,d,,o,4.62,11.93,,,w,,,t,f,,d,a
7533,p,9.82,p,,n,f,p,,w,9.78,27.75,c,,n,,,f,f,p,d,u
7534,p,0.94,x,g,w,f,a,d,w,2.44,1.45,,,n,,,f,f,,l,u
7535,e,7.66,f,s,n,f,s,c,w,6.4,9.85,b,i,n,,,f,f,,g,a
7536,p,4.04,f,,u,f,a,,w,4.07,7.32,,,y,,,f,f,,d,a
7537,p,3.93,f,t,n,f,x,c,p,6.17,4.68,,i,g,,,f,f,,m,u
7538,e,8.37,f,g,n,f,s,,y,9.0,12.86,,t,o,,,f,f,,d,a
7539,e,1.34,x,g,n,f,a,,w,5.06,1.42,,,g,,,f,f,,d,a
7540,e,6.45,x,t,n,f,a,d,n,6.32,5.86,,t,w,,,t,l,,d,w
7541,e,9.12,x,s,n,f,d,d,w,9.92,15.93,,i,n,,,t,,w,d,w
7542,e,8.88,x,h,n,t,p,,n,9.05,18.14,,,n,,w,t,p,,d,a
7543,p,3.12,f,w,p,f,a,,r,4.93,5.71,,t,y,,,f,f,,m,a
7544,p,4.01,x,h,l,f,s,c,g,5.68,7.44,,y,w,,,t,e,u,d,a
7545,p,10.43,f,h,w,f,s,,y,6.26,15.59,,i,n,,,f,f,,d,u
7546,p,12.52,x,t,g,t,d,c,n,6.34,16.06,,,n,,,f,f,,h,a
7547,e,5.86,x,h,n,f,a,d,n,5.49,3.98,,t,g,,,t,l,,d,u
7548,p,4.0,x,y,n,f,a,,w,5.44,3.58,,y,n,,,t,r,,d,a
7549,e,3.06,b,y,n,f,,c,n,7.46,3.36,,,w,,,f,f,,d,a
7550,e,3.21,x,s,o,f,a,c,o,4.66,7.22,,,e,,,f,f,,g,u
7551,e,5.76,x,t,n,f,a,d,n,6.27,4.96,,t,g,,,t,l,,d,a
7552,p,2.69,x,s,w,f,d,c,w,3.61,9.57,,,w,,,f,f,,g,u
7553,e,0.71,c,g,n,t,a,,w,4.76,0.96,,,n,,,f,f,,d,u
7554,e,1.44,c,g,n,f,a,,w,5.1,1.65,,,g,,,f,f,,d,u
7555,p,11.45,x,t,n,t,d,c,n,6.57,16.28,,,n,,,f,f,,h,a
7556,p,3.12,x,y,o,f,d,,y,3.22,6.04,,,o,,,f,f,,m,a
7557,p,1.36,x,k,n,f,,,n,3.35,1.33,,,n,,,f,f,,d,a
7558,p,5.65,b,,y,f,s,d,y,4.92,10.86,,i,y,,,f,f,,d,a
7559,p,7.01,b,t,w,f,e,c,w,12.12,12.15,,y,w,u,w,t,l,,d,u
7560,p,0.93,x,g,w,f,a,d,w,2.6,1.06,,,e,,,f,f,,d,u
7561,e,6.0,s,,n,f,d,c,w,4.54,7.5,,s,w,,,f,f,,h,a
7562,p,4.18,b,t,n,f,x,c,p,5.89,4.13,,i,n,,,f,f,,m,a
7563,e,7.36,p,,n,f,a,,w,7.71,14.41,,,g,,,f,f,,d,a
7564,p,16.65,f,e,g,f,d,c,w,10.2,27.68,s,,w,,,f,f,,d,w
7565,e,3.17,x,s,p,f,a,c,e,4.11,6.42,,,e,,,f,f,,m,a
7566,p,14.7,x,e,n,t,p,,y,9.19,32.67,c,,y,,,f,f,,d,u
7567,p,16.36,s,k,w,t,d,d,w,5.11,26.19,,,w,,,f,f,,d,a
7568,p,3.58,x,t,o,f,a,c,n,4.54,5.8,,y,o,,,t,z,,d,w
7569,e,3.59,s,d,n,f,d,c,p,7.03,5.73,,,u,,,f,f,,d,a
7570,p,16.18,x,h,n,t,p,,e,8.29,27.49,c,,y,,,f,f,,d,a
7571,p,4.43,c,i,y,f,,c,r,5.96,6.33,,,w,,,f,f,,d,u
7572,p,7.08,x,t,e,f,x,d,w,6.07,17.35,b,,w,,,f,f,,d,u
7573,p,1.29,x,g,n,f,d,d,n,1.94,2.42,,s,n,,,f,f,,h,a
7574,e,3.13,x,h,n,f,,c,n,5.64,5.92,,s,w,,w,f,f,k,d,u
7575,p,13.23,x,,n,f,e,,w,10.96,13.48,,,w,u,w,t,g,,d,u
7576,e,3.34,x,,y,f,a,c,o,2.93,8.81,,,w,,,f,f,,d,a
7577,p,3.31,o,,k,f,f,f,f,3.97,16.78,,g,n,,,f,f,,d,u
7578,e,4.86,x,s,n,f,p,,n,4.2,11.93,,,n,,,f,f,,d,a
7579,e,6.68,x,t,n,f,e,,w,13.1,14.39,,s,w,u,w,f,f,,d,u
7580,p,12.03,f,,n,f,e,,w,11.2,19.0,,,w,u,w,t,g,,d,a
7581,p,0.73,x,g,o,f,,,y,3.68,0.79,,,w,,,f,f,,d,u
7582,e,5.76,x,h,n,f,x,c,n,4.54,5.76,,y,n,,,t,r,,d,s
7583,e,11.92,f,e,b,f,,c,b,4.81,22.7,,,w,,,t,f,,d,a
7584,p,2.69,s,d,w,f,d,d,p,3.54,2.43,,h,w,,,f,f,,g,a
7585,p,8.12,s,t,p,t,d,c,p,7.66,15.08,,,p,,,t,f,,d,a
7586,e,4.95,x,,w,f,x,c,n,8.22,8.93,b,,n,,w,t,,,g,s
7587,e,3.46,x,,w,f,x,c,w,7.87,8.27,b,,n,,w,t,,,d,s
7588,p,3.27,o,,w,t,f,f,f,4.84,23.6,,g,w,,,t,f,,d,a
7589,p,2.56,b,,k,f,a,,k,7.6,2.23,,,n,,w,f,f,k,g,u
7590,p,5.04,x,s,k,f,e,,g,7.19,7.01,,,o,,,t,f,,g,a
7591,e,11.12,p,i,n,t,e,,p,9.01,17.71,,y,w,,,t,l,,l,a
7592,p,3.42,b,,k,f,a,,k,9.27,2.72,,,g,,w,f,f,k,g,a
7593,e,4.04,s,d,u,t,d,c,p,5.14,6.63,,,g,,,f,f,,d,u
7594,e,8.04,f,s,u,f,a,c,w,4.38,15.55,,,w,,,f,f,,d,a
7595,p,9.17,x,e,n,f,a,,n,11.23,16.16,s,,n,,e,f,f,,d,a
7596,p,19.32,x,k,w,t,d,d,n,7.27,26.64,,,w,,,f,f,,d,a
7597,p,3.79,b,d,p,f,a,,y,6.29,7.38,,t,y,,,f,f,,g,a
7598,e,6.31,x,d,n,t,p,,y,7.84,16.84,,,y,,,f,f,,d,u
7599,p,3.2,b,w,r,f,a,,y,5.21,5.89,,t,y,,,f,f,,d,u
7600,e,8.53,x,s,n,f,e,c,p,6.45,13.05,,,w,,w,t,e,,g,u
7601,p,6.71,s,,w,t,d,,o,4.79,12.36,,,w,,,t,f,,d,u
7602,p,15.99,f,h,o,f,e,,w,17.74,17.9,s,y,w,u,w,t,p,,d,a
7603,p,8.35,o,t,n,f,,c,y,1.51,15.33,,,y,,,f,f,,d,a
7604,e,8.03,x,h,y,f,p,,y,7.42,14.4,,,y,,y,t,,,d,a
7605,e,2.74,b,g,n,f,a,d,g,6.14,3.96,,s,g,,,f,f,,d,s
7606,e,3.58,s,,y,f,f,f,f,5.98,6.82,,,y,,,f,f,,d,a
7607,p,6.69,x,,y,f,s,c,y,5.32,13.23,,i,y,,,f,f,,d,a
7608,e,19.52,x,t,n,f,a,d,y,7.46,23.17,,,w,,,f,f,w,d,u
7609,e,10.05,f,e,b,f,,c,b,5.57,22.79,,,w,,,t,f,,d,a
7610,e,6.52,x,s,w,f,s,c,w,5.84,28.55,,,w,,,f,f,,d,u
7611,e,10.27,f,y,y,f,,,w,7.29,24.1,b,,n,,w,t,e,,d,u
7612,p,3.77,x,k,w,f,s,,p,5.17,3.11,,,n,,,f,f,p,g,u
7613,p,2.56,x,g,e,f,a,,w,7.67,2.53,,,w,,,f,f,,d,u
7614,p,3.17,f,s,o,f,a,,o,4.48,6.94,,,y,,,f,f,,g,a
7615,p,1.74,x,i,k,f,a,,w,4.1,2.64,,,w,,,f,f,p,g,u
7616,e,6.94,x,t,n,t,p,,y,7.91,18.03,,,n,,w,t,p,,d,a
7617,e,5.62,f,y,g,f,s,,w,4.81,8.17,,,w,,,f,f,,d,u
7618,e,4.12,x,h,n,f,x,c,n,5.86,6.04,,y,n,,,t,r,,d,u
7619,p,2.56,f,d,p,f,a,,y,4.81,5.25,,t,r,,,f,f,,d,a
7620,e,14.55,s,,w,f,d,c,w,5.14,23.99,,,w,,,f,f,,d,a
7621,p,2.8,b,y,n,f,,c,g,5.75,4.54,s,s,w,,,f,f,,d,u
7622,p,3.17,x,t,n,f,s,c,n,5.71,9.48,,,w,,n,t,z,,d,u
7623,p,14.73,s,d,n,f,d,c,y,5.22,27.34,,k,n,,,f,f,,d,a
7624,e,4.49,x,,w,f,x,c,w,8.2,10.04,b,,n,,w,t,,,g,a
7625,e,3.49,f,y,n,f,a,d,p,4.95,2.84,,i,n,,,f,f,,h,s
7626,p,5.57,f,,g,f,d,c,w,5.49,10.29,b,,n,,,f,f,,d,w
7627,p,2.19,b,g,o,f,,c,n,6.7,3.16,,,n,,,f,f,,m,u
7628,p,1.56,x,k,n,f,,,n,4.03,1.69,,,n,,,f,f,,d,s
7629,e,3.11,b,y,n,f,,c,k,6.91,2.72,,,w,,,f,f,,d,u
7630,e,5.96,f,w,y,f,f,f,f,5.64,15.55,,,y,,,f,f,,d,u
7631,e,3.61,x,h,p,f,a,c,e,4.6,6.47,,,e,,,f,f,,g,a
7632,e,52.09,o,y,y,f,p,,y,12.37,38.52,,k,n,,,f,f,,d,u
7633,e,3.87,f,t,n,f,d,,o,5.65,6.54,,t,o,,,f,f,,d,w
7634,p,6.99,x,d,n,f,d,c,n,5.8,6.68,,i,n,,,t,,,d,a
7635,p,5.85,c,k,w,t,x,c,y,7.02,12.86,,,w,,,f,f,,d,u
7636,p,1.27,x,g,y,f,d,d,n,1.58,2.3,,s,n,,,f,f,,h,u
7637,p,10.12,p,,n,f,p,,w,10.46,32.4,c,,n,,,f,f,,d,u
7638,e,12.96,f,,b,f,d,c,w,2.6,16.98,,,w,,,f,f,,d,a
7639,p,9.9,x,t,n,f,a,d,w,11.11,30.89,,,w,,,f,f,,d,u
7640,e,5.97,f,y,n,f,s,,g,5.28,8.45,,,w,,,f,f,,d,u
7641,p,3.22,b,,g,f,a,,k,9.73,2.36,,,n,,w,f,f,k,g,a
7642,p,1.28,b,t,y,f,,c,g,3.07,2.41,,,n,,,t,f,,m,a
7643,p,3.65,x,h,n,f,a,c,n,5.71,6.61,,y,o,,,t,z,,d,s
7644,p,2.0,c,,u,f,a,c,n,2.89,3.09,,i,w,,,f,f,,p,u
7645,e,5.81,x,s,n,f,x,c,w,7.11,10.51,,s,n,,,f,f,,l,a
7646,p,3.11,f,w,r,f,a,,r,4.51,5.48,,t,r,,,f,f,,g,a
7647,e,4.62,f,g,n,f,a,d,g,6.06,4.52,,s,g,,,f,f,,d,u
7648,p,8.44,x,g,n,f,e,,w,9.14,17.14,,y,w,u,w,t,e,,d,a
7649,e,5.72,x,s,n,f,x,c,w,6.27,9.62,,s,n,,,f,f,,l,a
7650,e,2.84,s,y,n,f,d,d,p,7.56,3.83,,i,n,,,f,f,,l,a
7651,p,5.73,s,,n,t,d,c,w,7.16,5.77,,,e,,,f,f,,d,u
7652,e,8.18,x,,g,f,s,c,p,7.13,20.0,b,,u,,,f,f,,g,w
7653,e,12.4,x,t,n,t,p,,y,9.06,23.61,,,n,,,f,f,,d,u
7654,e,2.66,s,y,n,f,a,d,p,6.52,3.46,,i,n,,,f,f,,h,a
7655,e,7.72,x,s,o,f,d,d,o,6.7,13.05,,,w,,,f,f,,g,a
7656,e,13.57,x,,n,t,,,w,10.9,18.9,b,,w,u,w,t,g,,d,a
7657,p,0.59,x,,o,f,d,,o,4.27,0.95,,,o,,,f,f,w,g,u
7658,e,11.27,x,t,o,t,d,c,o,6.14,17.52,,,w,,,f,f,,d,a
7659,e,2.87,f,s,w,f,d,d,w,3.16,5.92,,,w,,,f,f,,g,a
7660,e,2.96,b,y,n,f,,c,k,6.07,3.43,,,w,,,f,f,,d,w
7661,e,12.46,s,s,n,f,x,,n,7.28,23.7,,,w,,,f,f,,d,u
7662,p,3.49,f,k,w,f,s,,p,4.0,2.83,,,n,,,f,f,p,g,a
7663,e,1.53,x,t,y,f,d,,w,6.49,2.25,,t,y,,,f,f,,h,u
7664,p,12.69,o,,n,f,f,f,f,4.32,27.12,,g,n,,,f,f,,d,s
7665,p,8.87,p,y,n,f,,,p,15.88,17.46,,,w,,,f,f,,d,a
7666,e,4.5,x,,y,f,a,c,o,3.42,8.1,,,w,,,f,f,,d,u
7667,p,8.18,f,t,y,f,x,c,y,5.95,15.62,,,y,,,f,f,,d,a
7668,e,10.83,s,t,w,t,d,c,o,6.45,18.54,,,w,,,f,f,,d,a
7669,p,6.4,x,e,e,f,a,,g,8.29,10.28,,,e,,w,t,z,,d,a
7670,p,0.99,b,g,w,f,,c,n,6.02,2.59,,,n,,,f,f,,d,s
7671,e,5.57,x,h,y,t,x,c,y,6.89,14.92,,,w,,,f,f,,d,a
7672,p,2.95,f,w,n,t,d,c,y,3.36,5.72,,,n,,,f,f,,d,u
7673,e,1.43,c,g,n,f,a,,w,4.88,1.41,,,g,,,f,f,,d,u
7674,p,6.03,s,d,e,t,d,c,w,5.46,8.08,,,e,,,f,f,,d,a
7675,e,7.22,x,,e,f,x,c,w,5.11,15.27,,s,w,,,f,f,,d,u
7676,p,12.79,x,,g,f,e,,w,10.85,14.7,,,w,u,w,t,g,,d,u
7677,p,1.19,x,s,y,f,f,f,f,3.43,5.34,,,y,,,f,f,,d,u
7678,e,4.87,x,,l,f,d,,r,6.65,6.56,,,w,,,f,f,,l,u
7679,p,1.25,x,g,y,f,d,d,n,1.65,2.25,,s,n,,,f,f,,d,u
7680,e,3.24,x,s,w,f,d,d,w,2.89,5.51,,,w,,,f,f,,g,u
7681,e,14.24,x,t,k,f,a,d,y,7.78,22.51,,,w,,,f,f,w,d,w
7682,p,6.67,f,t,n,f,x,,w,12.14,7.34,r,g,n,,,f,f,,d,a
7683,e,12.59,x,h,n,t,p,,y,7.76,23.17,,,n,,,f,f,,d,a
7684,e,45.89,o,y,y,f,p,,y,6.33,32.46,,k,n,,,f,f,,d,u
7685,p,7.34,b,t,w,f,e,c,w,12.28,12.44,,y,w,u,w,t,l,,d,u
7686,e,1.97,x,,w,f,,d,g,5.67,3.62,,,w,,,f,f,,d,u
7687,p,3.94,c,e,w,t,x,c,r,5.06,12.38,,,w,,,f,f,,g,u
7688,p,3.8,b,y,p,f,e,c,w,4.47,3.49,,k,w,,,t,e,,d,a
7689,e,9.39,x,,g,f,s,c,b,8.0,20.02,,,u,,,f,f,,d,w
7690,p,7.62,x,t,e,f,x,d,w,6.92,18.39,b,,w,,,f,f,,d,a
7691,p,3.23,b,w,y,f,a,,y,4.68,7.17,,t,y,,,f,f,,g,u
7692,p,1.52,o,k,n,f,,,n,3.82,1.48,,,n,,,f,f,,d,a
7693,p,8.22,x,s,n,f,s,,p,8.05,17.33,,i,n,,,f,f,,d,u
7694,p,3.14,f,,n,f,x,c,p,7.93,3.87,,,n,,,f,f,,d,a
7695,e,1.62,x,t,y,f,d,,w,6.67,1.66,,t,y,,,f,f,,d,u
7696,e,10.16,f,y,e,f,,,w,8.22,24.96,b,,n,,w,t,e,,d,w
7697,e,4.44,f,,y,f,x,c,g,6.7,4.09,,,w,,,f,f,,d,u
7698,p,9.34,x,,g,t,x,,n,8.08,16.44,s,,g,,,f,f,,d,u
7699,p,8.48,o,k,n,f,,c,o,1.52,17.05,,,n,,,f,f,,d,w
7700,p,8.54,s,t,p,t,d,c,p,8.24,14.45,,,p,,,t,f,,d,u
7701,e,3.83,x,t,n,f,d,c,o,5.71,7.3,,t,w,,,f,f,,d,u
7702,p,6.07,x,t,n,f,s,,n,5.29,7.27,,y,n,,,f,f,,d,w
7703,e,9.18,s,,n,f,,,w,4.64,22.87,,,n,,,f,f,,d,u
7704,e,5.46,x,h,n,f,x,c,w,5.7,6.4,,s,n,,,t,r,,d,a
7705,p,2.68,o,,k,f,f,f,f,3.59,14.36,,g,n,,,f,f,,d,a
7706,e,6.9,x,y,n,f,e,c,w,7.28,10.34,,y,n,,,f,f,,d,a
7707,e,1.63,c,g,n,f,a,,g,4.98,1.57,,,g,,,f,f,,d,a
7708,p,7.69,s,,o,t,d,,o,4.6,12.68,,,w,,,t,f,,d,u
7709,p,1.29,b,h,n,f,a,,n,3.91,1.43,,t,n,,,f,f,,h,u
7710,p,7.45,b,t,w,f,e,c,w,11.02,12.7,,y,w,u,w,t,l,,d,a
